,Unnamed: 0,Text,Language,Class,Number of words,Number of spaces
0,0,nature in the broadest sense is the natural physical material world or universe,English,0,13,12
1,1,nature can refer to the phenomena of the physical world and also to life in general,English,0,16,15
2,2,the study of nature is a large if not the only part of science,English,0,14,13
3,3,although humans are part of nature human activity is often understood as a separate category from other natural phenomena,English,0,19,18
4,4,the word nature is borrowed from the old french nature and is derived from the latin word natura or essential qualities innate disposition and in ancient times literally meant birth,English,0,30,29
5,5,in ancient philosophy natura is mostly used as the latin translation of the greek word physis φύσις which originally related to the intrinsic characteristics that plants animals and other features of the world develop of their own accord,English,0,38,37
6,6,the concept of nature as a whole the physical universe is one of several expansions of the original notion it began with certain core applications of the word φύσις by presocratic philosophers though this word had a dynamic dimension then especially for heraclitus and has steadily gained currency ever since,English,0,50,49
7,7,during the advent of modern scientific method in the last several centuries nature became the passive reality organized and moved by divine laws,English,0,23,22
8,8,with the industrial revolution nature increasingly became seen as the part of reality deprived from intentional intervention  it was hence considered as sacred by some traditions rousseau american transcendentalism or a mere decorum for divine providence or human history hegel marx,English,0,41,40
9,9,however a vitalist vision of nature closer to the presocratic one got reborn at the same time especially after charles darwin,English,0,21,20
10,10,within the various uses of the word today nature often refers to geology and wildlife,English,0,15,14
11,11,nature can refer to the general realm of living plants and animals and in some cases to the processes associated with inanimate objects—the way that particular types of things exist and change of their own accord such as the weather and geology of the earth,English,0,45,44
12,12,it is often taken to mean the natural environment or wilderness—wild animals rocks forest and in general those things that have not been substantially altered by human intervention or which persist despite human intervention,English,0,34,33
13,13,for example manufactured objects and human interaction generally are not considered part of nature unless qualified as for example human nature or the whole of nature,English,0,26,25
14,14,this more traditional concept of natural things that can still be found today implies a distinction between the natural and the artificial with the artificial being understood as that which has been brought into being by a human consciousness or a human mind,English,0,43,42
15,15,depending on the particular context the term natural might also be distinguished from the unnatural or the supernatural,English,0,18,17
16,16,earth is the only planet known to support life and its natural features are the subject of many fields of scientific research,English,0,22,21
17,17,within the solar system it is third closest to the sun it is the largest terrestrial planet and the fifth largest overall,English,0,22,21
18,18,its most prominent climatic features are its two large polar regions two relatively narrow temperate zones and a wide equatorial tropical to subtropical region,English,0,24,23
19,19,precipitation varies widely with location from several metres of water per year to less than a millimetre,English,0,17,16
20,20,percent of the earth s surface is covered by saltwater oceans,English,0,11,10
21,21,the remainder consists of continents and islands with most of the inhabited land in the northern hemisphere,English,0,17,16
22,22,earth has evolved through geological and biological processes that have left traces of the original conditions,English,0,16,15
23,23,the outer surface is divided into several gradually migrating tectonic plates,English,0,11,10
24,24,the interior remains active with a thick layer of plastic mantle and an ironfilled core that generates a magnetic field,English,0,20,19
25,25,this iron core is composed of a solid inner phase and a fluid outer phase,English,0,15,14
26,26,convective motion in the core generates electric currents through dynamo action and these in turn generate the geomagnetic field,English,0,19,18
27,27,the atmospheric conditions have been significantly altered from the original conditions by the presence of lifeforms which create an ecological balance that stabilizes the surface conditions,English,0,26,25
28,28,despite the wide regional variations in climate by latitude and other geographic factors the longterm average global climate is quite stable during interglacial periods and variations of a degree or two of average global temperature have historically had major effects on the ecological balance and on the actual geography of the earth,English,0,52,51
29,29,geology is the science and study of the solid and liquid matter that constitutes the earth,English,0,16,15
30,30,the field of geology encompasses the study of the composition structure physical properties dynamics and history of earth materials and the processes by which they are formed moved and changed,English,0,30,29
31,31,the field is a major academic discipline and is also important for mineral and hydrocarbon extraction knowledge about and mitigation of natural hazards some geotechnical engineering fields and understanding past climates and environments,English,0,33,32
32,32,the geology of an area evolves through time as rock units are deposited and inserted and deformational processes change their shapes and locations,English,0,23,22
33,33,rock units are first emplaced either by deposition onto the surface or intrude into the overlying rock,English,0,17,16
34,34,deposition can occur when sediments settle onto the surface of the earth and later lithify into sedimentary rock or when as volcanic material such as volcanic ash or lava flows blanket the surface,English,0,33,32
35,35,igneous intrusions such as batholiths laccoliths dikes and sills push upwards into the overlying rock and crystallize as they intrude,English,0,20,19
36,36,after the initial sequence of rocks has been deposited the rock units can be deformed andor metamorphosed,English,0,17,16
37,37,deformation typically occurs as a result of horizontal shortening horizontal extension or sidetoside strikeslip motion,English,0,15,14
38,38,these structural regimes broadly relate to convergent boundaries divergent boundaries and transform boundaries respectively between tectonic plates,English,0,17,16
39,39,earth is estimated to have formed  billion years ago from the solar nebula along with the sun and other planets,English,0,20,19
40,40,the moon formed roughly  million years later,English,0,7,6
41,41,initially molten the outer layer of the earth cooled resulting in the solid crust,English,0,14,13
42,42,outgassing and volcanic activity produced the primordial atmosphere,English,0,8,7
43,43,condensing water vapor most or all of which came from ice delivered by comets produced the oceans and other water sources,English,0,21,20
44,44,the highly energetic chemistry is believed to have produced a selfreplicating molecule around  billion years ago,English,0,16,15
