,Word,where,Count_ita,Count_other,Total_count
4793,de,2,4,3493,3497
7920,di,1,3492,0,3492
0,,2,272,2678,2950
5408,a,2,985,1685,2670
1609,la,2,1323,1216,2539
5274,e,2,1844,410,2254
7130,in,2,1269,946,2215
2489,un,2,1343,596,1939
6448,wikipedia,2,870,792,1662
8384,the,2,13,1608,1621
5761,che,1,1608,0,1608
5907,en,2,1,1534,1535
9035,il,2,1196,112,1308
3974,è,1,1302,0,1302
42939,que,0,0,1294,1294
5572,l,2,827,438,1265
230,i,2,537,637,1174
4106,of,2,12,1126,1138
7125,le,2,635,472,1107
3017,o,2,497,502,999
3493,per,2,959,15,974
1441,da,2,565,316,881
5237,una,2,690,187,877
6799,and,2,7,846,853
29548,du,0,0,814,814
3422,non,2,745,25,770
1589,to,2,1,754,755
7693,se,2,312,410,722
309,sono,2,611,1,612
5869,et,2,1,587,588
5071,del,2,454,114,568
15616,के,0,0,563,563
4267,come,2,544,14,558
4831,is,2,1,552,553
1662,ha,2,486,49,535
5424,con,2,407,125,532
51167,je,0,0,507,507
8506,d,2,106,383,489
39816,à,0,0,481,481
9631,della,1,480,0,480
5189,si,2,306,172,478
6949,att,2,1,438,439
34182,y,0,0,429,429
7355,wikipédia,2,1,422,423
33793,det,0,0,423,423
49938,that,0,0,408,408
29254,por,0,0,408,408
18211,des,0,0,406,406
49835,में,0,0,396,396
1488,su,2,289,104,393
15216,les,0,0,389,389
1799,el,2,2,386,388
26211,och,0,0,387,387
13168,в,0,0,386,386
1425,no,2,40,346,386
9431,you,2,3,363,366
7066,più,1,364,0,364
21642,as,0,0,356,356
4208,for,2,3,353,356
46288,है,0,0,344,344
17191,para,0,0,337,337
40467,est,0,0,330,330
28019,som,0,0,329,329
905,dell,2,326,1,327
30043,और,0,0,313,313
16374,em,0,0,313,313
17636,at,0,0,308,308
41563,kan,0,0,303,303
21302,في,0,0,301,301
49496,une,0,0,299,299
52357,и,0,0,298,298
9405,es,2,8,290,298
8291,gli,1,296,0,296
51316,er,0,0,295,295
42760,να,0,0,292,292
41733,är,0,0,285,285
1240,lo,2,173,110,283
27644,het,0,0,282,282
9293,s,2,7,265,272
7284,dei,1,272,0,272
27288,vous,0,0,271,271
3303,apprendimento,1,271,0,271
8587,questo,1,267,0,267
19923,på,0,0,265,265
6329,nel,1,263,0,263
50925,um,0,0,263,263
35516,एक,0,0,262,262
47901,was,0,0,260,260
49272,من,0,0,259,259
4173,al,2,231,28,259
5545,on,2,2,256,258
33339,om,0,0,258,258
6102,wikimedia,2,115,141,256
47390,como,0,0,253,253
24938,você,0,0,252,252
8818,essere,1,252,0,252
27844,को,0,0,251,251
26119,ou,0,0,247,247
20642,،,0,0,247,247
27212,dans,0,0,246,246
14440,har,0,0,245,245
39517,कि,0,0,244,244
35814,een,0,0,244,244
8658,te,2,60,183,243
605,delle,1,243,0,243
8395,nature,2,24,218,242
27567,sie,0,0,240,240
52538,से,0,0,233,233
3102,anche,1,228,0,228
40777,हैं,0,0,228,228
27863,los,0,0,223,223
1572,articoli,1,223,0,223
7656,qui,2,46,174,220
22270,par,0,0,217,217
4755,van,2,1,212,213
9144,learning,2,31,181,212
3037,all,2,140,72,212
331,it,2,6,205,211
7249,alla,2,189,22,211
17808,ನೀವು,0,0,211,211
13337,bir,0,0,210,210
48565,ve,0,0,209,209
10867,are,0,0,209,209
8606,parte,2,158,50,208
7864,me,2,35,169,204
7298,ad,2,200,4,204
7566,ne,2,67,137,204
25343,av,0,0,204,204
34274,jag,0,0,203,203
5041,puoi,1,201,0,201
5390,do,2,3,196,199
2966,enciclopedia,2,152,47,199
26623,ik,0,0,198,198
20481,jeg,0,0,197,197
50146,आप,0,0,197,197
18833,og,0,0,197,197
6662,or,2,1,196,197
8906,ma,2,187,10,197
14415,και,0,0,196,196
32932,den,0,0,195,195
38323,uma,0,0,195,195
121,w,2,6,188,194
12812,by,0,0,193,193
19839,dat,0,0,192,192
14839,ich,0,0,192,192
21052,med,0,0,191,191
38485,não,0,0,190,190
7030,natura,2,184,5,189
18852,की,0,0,188,188
6920,era,2,138,48,186
4257,web,2,98,88,186
35286,நீங்கள்,0,0,183,183
35840, ·,0,0,182,182
25726,है।,0,0,179,179
20184,что,0,0,176,176
7994,cui,1,174,0,174
1706,dire,2,120,54,174
34913,लिए,0,0,173,173
7764,nella,1,172,0,172
52501,το,0,0,171,171
5147,an,2,2,169,171
46419,with,0,0,171,171
1414,narcisa,2,41,129,170
36242,pas,0,0,170,170
3616,sua,2,114,56,170
42890,أن,0,0,169,169
32112,не,0,0,167,167
34486,pour,0,0,167,167
14433,för,0,0,166,166
19631,can,0,0,165,165
2147,stato,1,165,0,165
28298,विकिपीडिया,0,0,165,165
3428,é,2,1,162,163
14745,ನಾನು,0,0,162,162
12226,dig,0,0,161,161
8735,tra,1,161,0,161
38260,का,0,0,157,157
14373,я,0,0,156,156
475,ti,2,146,10,156
6170,significa,2,96,59,155
34167,så,0,0,155,155
