,Text,f(x),true
93,oh questo è quasi un matto.,0,1
102,la société doit apporter une réponse à cette question avec différentes approches possibles.,1,0
107,artisti britannici john constable e j. M. w. turner ha rivolto la loro attenzione a catturare la bellezza del mondo naturale nei loro dipinti.,0,1
123,"inoltre, senza la ridistribuzione dell'energia termica da parte delle correnti oceaniche e dell'atmosfera, i tropici sarebbero molto più caldi e le regioni polari molto più fredde.",0,1
178,este es mi error.,1,0
219,estás absolutamente en lo correcto.,1,0
321,costituisce l'universo osservabile.,0,1
333,hai assolutamente ragione.,0,1
484,nel caso del software se è libero chiunque può prelevarne i sorgenti modificarli e ridistribuirli eppure solitamente i programmatori si limitano a proporre alcune modifiche agli autori i quali le adottano oppure no a loro insindacabile giudizio.,0,1
498,nel  è nata quella in emiliano e romagnolo.,0,1
548,la dichotomie nature / culture soulevée l’opposition nature / culture suggère deux possibilités.,1,0
558,la constante surveillance des modifications est également ouverte à tous à travers le système wiki.,1,0
687,coperture d'acqua della superficie terrestre.,0,1
756,el elemento común en todas ellas es una esfera escrita como elemento central simbolizando el mundo y el conocimiento.,1,0
829,i'll be fine.,1,0
839,i file immagine variano a seconda delle edizioni linguistiche.,0,1
931,durante l'avvento del metodo scientifico moderno negli ultimi secoli la natura è diventata la realtà passiva organizzata e mossa da leggi divine.,0,1
1136,pagina wikipedia della legge volte visualizzate oggi.,0,1
1297,Ho sbagliato.,0,1
1383,il précise que ces poèmes doivent être lus à trois niveaux  au sens littéral pour l'entendement puéril au sens moral ou au sens allégorique.,1,0
1421,sempre più la valorizzazione della natura divenne un aspetto della cultura occidentale.,0,1
1423,stavi dicendo .,0,1
1433,hai assolutamente ragione.,0,1
1446,lo sé.,1,0
1466,del solito a sembrare un po 'stanco e mancante.,0,1
1482,i bot su wikipedia devono essere approvati prima dell'attivazione.,0,1
1506,lo sviluppo della tecnologia da parte della razza umana ha consentito un maggiore sfruttamento delle risorse naturali e ha contribuito ad alleviare alcuni dei rischi derivanti dai pericoli naturali.,0,1
1515,malheureusement je dois dire non.,1,0
1525,estoy viendo a mi amigo.,1,0
1554,no tengo una opinión al respecto.,1,0
1615,cuando wales fundó wikipedia creó una organización llamada wikia.,1,0
1633,una red bayesiana puede representar por ejemplo las relaciones probabilísticas entre enfermedades y síntomas.,1,0
1645,ook kan iemand per ongeluk foutieve informatie toevoegen.,1,0
1721,inizialmente fuso lo strato esterno della terra si è raffreddato risultando nella crosta solida.,0,1
1722,la qualité des « décisions » prises par un algorithme d’aa dépend non seulement de la qualité donc de leur homogénéité fiabilité etc.,1,0
1748,interrompendo cortesemente.,0,1
1863,ho sbagliato.,0,1
1866,gne.,1,0
1994,vai avanti.,0,1
2071,il caa esiste in due ambienti uno è l'ambiente comportamentale in cui si comporta e l'altro è l'ambiente genetico da cui inizialmente e solo una volta riceve emozioni iniziali su situazioni da incontrare nell'ambiente comportamentale.,0,1
2091,ce serait génial qu'il y ait un bouton rouge là-bas quelque part.,1,0
2109,sapresti dov'è la biblioteca,0,1
2159,la wikipedia inglese ha articoli editori registrati e editori attivi.,0,1
