,Text,f(x),true
12,genehmigung.,1,0
53,நீ சாப்பிடு.,1,0
203,முடிக்கிறேன்.,1,0
302,تشابك الاصابع.,1,0
304,с удовольствием.,1,0
344,άδεια.,1,0
367,weinig.,1,0
428,دعنى ارى.,1,0
469,öneriler.,1,0
505,المقاطعة بأدب.,1,0
551,toestemming.,1,0
684,മുന്നോട്ടുപോകുക.,1,0
735,aceito sua proposta.,1,0
764,anfragen.,1,0
792,كينيدي.,1,0
921,прошу прощения,1,0
935,parecían agradables.,1,0
1072,составление планов.,1,0
1300,ارجو قبول اعتذارى.,1,0
1307,ഞാൻ വഷളായി.,1,0
1393,].,1,0
1416,organizzazioni dei media filosofia wikipedia /ˌwɪkɪˈpiːdiə/ listen wik-ih-pee-dee-ə o /ˌwɪki-/ listen wik-ee- è un'enciclopedia online collaborativa aperta multilingue creata e gestita da una comunità di redattori volontari utilizzando un editing basato su wiki sistema.,0,1
1446,lo sé.,1,0
1496,يضربني.,1,0
1498,seigenthaler è stato falsamente presentato come sospettato dell'assassinio di john f.,0,1
1523,le diste al clavo.,1,0
1651,ನಾನು ಹಾಳುಮಾಡಿದೆ.,1,0
1749,tvekande.,1,0
1801,pr.,1,0
1866,gne.,1,0
1868,воспитанный культурный и утонченный.,1,0
1874,zevkle.,1,0
1912,interrupting politely.,1,0
2020,concordando e discordando.,1,0
2065,ബുഷ്.,1,0
2174,in  french researchers josé lages of the university of franche-comté in besançon and dima shepelyansky of paul sabatier university in toulouse published a global university ranking based on wikipedia scholarly citations.,1,0
2193,naber,1,0
2195,¿perdóneme,1,0
2295,ad esempio la regola {onionspotatoes}⇒{burger}{\displaystyle \{\mathrm {onionspotatoes} \}\rightarrow \{\mathrm {burger} \}} trovata nei dati di vendita di un supermercato indicherebbe che se un cliente acquista cipolle e patate insieme è probabile che comprino anche carne per hamburger.,0,1
2320,ನೀವು ಹೇಗಿದ್ದೀರಿ,1,0
